Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,4/9/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Antigua and Barbuda,ATG,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,2.200768802,2.858449577,3.480536838,4.0717165,5.300681138,6.482225737,8.899285515,12.5,17.22864878,24.26654372,27,30,34,38,42,47,52,58,63.4,67.78,70,73,76,,
Australia,AUS,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.585094712,1.097203891,1.768764913,1.974611016,2.232101254,2.759654513,3.27524987,16.36935838,30.81323944,40.7837839,46.75611561,52.68926643,,,,63,66,69.45,71.67,74.25,76,79.48769771,79,83.45349717,84,84.56051935,86.54,86.54504885,,
Austria,AUT,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.130369377,0.259081553,0.642817619,0.76534273,1.393422968,1.890210524,6.909162353,9.533974317,15.42121932,23.0443171,33.73013295,39.18545018,36.56,42.7,54.28,58,63.6,69.37,72.87,73.45,75.17,78.7399931,80.02999392,80.6188,80.99582496,83.94014193,84.32374257,87.93558659,87.47913723,
Azerbaijan,AZE,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0.001431415,0.002055556,0.006354585,0.025187933,0.037485109,0.099228942,0.1477575756,0.3055646376,4.999713678,,,8.030375356,11.99217733,14.54,17.08,27.4,46,50,54.2,73.00000137,75.00001564,77,78.2,79,79.79999549,
Burundi,BDI,Individuals using the Internet (% of population),IT.NET.USER.ZS,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000803592,0.007979439,0.015842776,0.039204469,0.07724844738,0.1060012454,0.1182284123,0.2012731967,0.3490604619,0.5421428658,0.6575925904,0.7,0.81,0.9,1,1.11,1.219999945,1.264218111,1.38,4.866224464,5.173626777,2.660748535,,
Belgium,BEL,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00100674,0.020072645,0.100041027,0.199446059,0.69599469,0.99166299,2.968411647,4.93808091,7.886622701,13.77221446,29.43169169,31.28839551,46.33,49.97,53.86,55.82,59.72,64.44,66,70,75,81.609996,80.71999055,82.1702,85,85.0529,86.51647666,87.67968082,88.65506428,
Benin,BEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0.0016931,0.024648796,0.047877304,0.154906741,0.2252478515,0.36341789,0.7029455951,0.9513271149,1.182540965,1.271031439,1.537854346,1.79,1.85,2.24,3.13,4.148323066,4.5,4.9,6,11.25498791,11.99404791,20,,
Burkina Faso,BFA,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0.000960519,0.018686353,0.045423484,0.061780293,0.07708016894,0.1577324647,0.2009925979,0.3734403032,0.4002952855,0.4699144887,0.6327075645,0.75,0.92,1.13,2.4,3,3.725034916,9.1,9.4,14,13.96,16,,
Bangladesh,BGD,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0.000751046,0.003684813,0.036170407,0.07103942305,0.1298079739,0.1399202885,0.1638776655,0.1990363337,0.2416373256,1,1.8,2.5,3.1,3.7,4.5,5,6.63,13.9,14.4,18.02,15,,
Bulgaria,BGR,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.002339042,0.019526669,0.119665549,0.725251167,1.219813132,1.844965121,2.908154025,5.370923469,7.612297749,9.08,12.04,18.13,19.97,27.09,33.64,39.67,45,46.23,47.97999305,51.89998767,53.0615,55.49,56.6563,59.82554766,63.41010138,64.78201069,
Bahrain,BHR,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0.346205844,0.843254219,1.646299202,3.218202151,4.720358118,6.153732546,15.03863425,18.05072089,21.55494499,21.45868051,21.30373351,28.24395243,32.91,51.95,53,55,76.9999665,88,90.0000397,90.50313348,93.47830114,97.9999807,95.87813575,98.64467258,
"Bahamas, The",BHS,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0.960030721,1.746950698,1.362953903,2.33559071,3.764557822,8,11.8,18,20,22,25,26,27,31.54,33.88,43,65,71.74820281,72,76.92,78,80,85,,
Bosnia and Herzegovina,BIH,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0.015125563,0.059425563,0.14367106,0.1943742,1.08296075,1.200526951,2.648267914,3.965036834,15.46897162,21.326701,25.12238569,27.92,34.66,37.74,42.75,43.88768653,45.06450043,48.52131417,49.91773243,52.6,60.25653543,64.89197728,70.12013504,
Belarus,BLR,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0.000485951,0.002921254,0.029298294,0.049020891,0.073868897,0.494881245,1.860398126,4.300616022,8.950971315,,,,16.2,19.7,23,27.43,31.8,39.64889566,46.91,54.17,59.02,62.23036091,71.11304576,74.43644541,79.12988669,
Belize,BLZ,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0.04539718,0.882807327,1.288582302,2.091516391,4.076740564,5.963835303,,5.684251214,,9.8,17,24,24.6,26.3,27.2,28.2,30.7,31,33.6,38.7,41.59,44.57574032,47.0826258,,
Bermuda,BMU,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,6.838163465,16.20246602,24.18925674,32.10375935,39.94758876,42.94986002,47.5096999,52.03159737,56.52201218,60.99086701,65.44706579,69.89965516,74.35059403,82.3,83.25,84.21,88.336,91.29930452,95.3,96.8,98.32360965,98,98.37,,
Bolivia,BOL,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0.066807568,0.196081174,0.447839036,0.626484062,0.981815187,1.442763585,2.120462534,3.117192947,3.508596401,4.439924601,5.227583957,6.200671255,10.49924432,12.5,16.8,22.4,30,35.34,36.99,34.6,35.56227065,39.6975146,43.83227607,44.28614216,
Brazil,BRA,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.003288171,0.012946262,0.025498253,0.037672709,0.105138168,0.450789179,0.786079155,1.477874959,2.038732184,2.870685159,4.528494869,9.149425086,13.2075861,19.07367227,21.02274725,28.17838018,30.88,33.83,39.22,40.65,45.69,48.56,51.04,54.55100188,58.32795173,60.87254007,67.47128452,70.43428254,
Barbados,BRB,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0.007752238,0.389464214,0.783428912,1.970249237,2.376247035,3.973678355,11.93645034,27.83632242,39.68962712,49.8,52.5,55.3,58.2,61.4,64.7,65.1,66.5,71.2,71.8,75.16,76.11,79.54939789,81.76077839,,
Brunei Darussalam,BRN,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1.017080166,3.303349927,4.831057905,6.284742844,7.671041206,8.996284534,12.91776908,15.32987986,19.59500322,29.71560414,36.46639195,42.18634916,44.68,46,49,53,56,60.27306504,64.5,68.77,71.2,90,94.86669164,,
Bhutan,BTN,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0.137571514,0.4009444469,0.8646285642,1.675802584,2.436912399,3.156984196,3.847106745,4.518317258,5.92,6.55,7.17,13.6,14.4,15.6,22.4,30.3,39.8,41.77264453,48.10641588,,
Botswana,BWA,Individuals using the Internet (% of population),IT.NET.USER.ZS,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.064521041,0.15745423,0.30774685,0.602400929,1.122391474,2.902666622,3.430886787,3.385922351,3.345190174,3.304889253,3.262554036,4.289932975,5.28,6.25,6.15,6,9,16,30,36.74474744,37.31205037,39.36299738,47,,
Central African Republic,CAF,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0.005849503,0.014270881,0.027878201,0.040894287,0.05339417422,0.07854342784,0.1285371165,0.1515633379,0.2234013955,0.2681956092,0.3111591732,0.375815961,1,1.8,2,2.2,3,3.4,3.6,3.8,4,4.339254945,,
Canada,CAN,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.360999701,0.570385926,0.91598104,1.184557509,2.378693853,4.163525253,6.76023965,15.07235736,24.8974003,36.18644004,51.3,60.2,61.59329927,64.2,65.95596346,71.66,72.4,73.2,76.7,80.3,80.3,83,83,85.8,87.12,90,91.16,91,,
Central Europe and the Baltics,CEB,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1486478775,0.3892807588,0.6220143165,1.068812458,1.79192321,3.515199038,4.967280248,7.053821236,10.23883,18.25547593,22.5931211,29.24634069,34.75088949,40.80060882,45.28417403,50.68652882,55.09862076,58.59131297,59.11034673,61.71634151,63.46399045,66.48339261,67.34946913,71.34198079,73.40956613,75.99337435,
Switzerland,CHE,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.595714223,1.17995597,1.751713322,2.167270203,2.720004329,3.552007211,4.549656748,15.1,24.8,34,47.1,55.1,61.4,65.1,67.8,70.1,75.7,77.2,79.2,81.3,83.9,85.19302818,85.2,86.34,87.4,87.4790556,89.13468774,89.68614767,,
Channel Islands,CHI,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.036548938,0.071783144,0.141084507,0.346980781,0.68347561,1.057092496,1.662322022,4.103419297,16.6,19.1,22.1,25.47377889,28.17791012,31.17534703,34.49775117,35.9,37.3,41.56,45,52.24960729,55.05,58,61.11,76.63,83.55858602,82.32748693,,
China,CHN,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.00016868,0.001168115,0.00495471,0.013081692,0.032394861,0.168540297,0.708187957,1.775913207,2.639650215,4.595704331,6.2,7.3,8.523257003,10.52315262,16,22.6,28.9,34.3,38.3,42.30011749,45.8,47.9,50.3,53.2,54.3,,
Cote d'Ivoire,CIV,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0.000200256,0.00840978,0.018828361,0.060974439,0.118685917,0.2314616706,0.3957477022,0.4979293608,0.7586696295,0.8492824147,1.039238205,1.524900791,1.8,1.9,2,2.7,2.9,5,12,19.2742298,38.44,41.20781493,43.83992085,46.82372708,
Cameroon,CMR,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0.006768744,0.013216341,0.129067581,0.2521200777,0.2770513218,0.3608715843,0.5876226111,0.9760754155,1.402654226,2.028744791,2.93,3.4,3.84,4.3,5,7.5,10,16.21487223,20.68014766,23.20297197,23.20297197,,
"Congo, Dem. Rep.",COD,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0.000108207,0.000211213,0.000413065,0.001009076,0.005902113681,0.01147578192,0.09279070246,0.1349148374,0.1962083752,0.2380377987,0.2960536103,0.37,0.44,0.56,0.72,1.2,1.679961015,2.2,3,3.799999507,6.20997406,8.619904916,,
"Congo, Rep.",COG,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0.00352686,0.003469104,0.003415143,0.016791049,0.02635473206,0.03222361643,0.1572495172,0.4600141868,1.07750493,1.46342006,2.007990079,2.759704374,4.287509903,4.5,5,5.6,6.106695024,6.6,7.11,7.615974662,8.121949323,8.65,,
Colombia,COL,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0.107173945,0.18804679,0.330017773,0.550521023,1.126225245,1.697730794,2.207532993,2.854199971,4.6,7.388923711,9.118690303,11.00726389,15.34167454,21.8,25.6,30,36.5,40.35091575,48.98,51.7,52.57,55.90497251,58.13649357,62.25988032,64.12637682,
Comoros,COM,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,0.03787097,0.148162964,0.2717406073,0.4430683725,0.554869675,0.8481893702,1.327327178,2,2.2,2.5,3,3.5,5.1,5.5,5.975296308,6.5,6.98,7.459161386,7.938322771,8.478170295,,
Cabo Verde,CPV,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0.24096792,0.472735008,1.159982461,1.822443852,2.685332713,3.518757175,4.324885391,5.31883207,6.074087107,6.808911008,8.28321982,14,21,30,32,34.74,37.5,40.26,42.68,50.32281787,57.16214635,,
Costa Rica,CRI,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.001113325,0.081509754,0.279912479,0.416829206,0.84105704,1.640221288,2.666378698,3.904323257,5.800253023,9.559482135,19.89485113,20.33361481,20.79230671,22.07,25.1,28.4,32.29,34.33,36.5,39.212196,47.5,45.96,53,59.76295014,65.88044919,71.3907709,74.08680223,
Caribbean small states,CSS,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.192745494,0.5520331635,0.900278279,1.939210571,3.366104182,4.919305911,8.304084369,11.74958391,14.90380679,16.81713677,19.42329602,22.29266562,24.4998464,27.66798763,31.75089746,35.39109463,42.14125388,42.49399165,45.26984014,48.33369185,50.29546814,52.95321095,59.1763508,,
Cuba,CUB,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0.0000917,0.031949001,0.068220214,0.226699199,0.314690541,0.5411825488,1.079751722,3.770585038,5.241269054,8.407984759,9.738062208,11.15960131,11.69,12.94,14.33,15.9,16.0172908,21.2,27.93,29.07018437,37.30509742,42.97867519,57.14840432,,
Curacao,CUW,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.85551074,68.12721625,,
Cayman Islands,CYM,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0,3.948967193,,,,,,,,,,38.03438308,44.5,52,61,64.5,66,69.46594499,69.7,71.4,74.1,77,79,81.06769325,,
Cyprus,CYP,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.05006043,0.056367482,0.111034621,0.410120685,0.673343541,4.378272095,8.890539159,11.34239866,15.25539437,18.81875904,28.32,30.09,33.83,32.81,35.83,40.77,42.31,49.81,52.99,56.85989235,60.6898684,65.4548,69.33,71.7159,75.9002054,80.74318897,84.43358252,
Czech Republic,CZE,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.581319529,1.259217838,1.45357584,1.940378193,2.915698695,3.895906065,6.832802018,9.780527888,14.69717212,23.93,34.3,35.5,35.27,47.93,51.93,62.97,64.43,68.82,70.49,73.43000782,74.1104,74.23171164,75.6688387,76.4811987,78.71916143,80.68816754,
Germany,DEU,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125892223,0.250274153,0.43528529,0.463635096,0.922541043,1.837737754,3.054805234,6.711087477,9.877852428,20.84598264,30.2163466,31.65093942,48.82,55.9,64.73,68.71,72.16,75.16,78,79,82,81.26999954,82.34999847,84.17,86.19,87.58979935,84.16520664,84.39550077,89.73912104,
Djibouti,DJI,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0.01603083,0.031166241,0.082941498,0.094696004,0.105761909,0.1945005284,0.343526263,0.4869717045,0.6259402294,0.7813171751,0.9536114493,1.270041159,1.62,2.26,4,6.5,7,8.267232892,9.5,10.71,11.92243143,13.13491511,55.68140925,,
Dominica,DMA,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0.548762737,1.165518146,,2.925345191,2.932164377,8.814844198,13.24522804,18.42489277,23.62041985,30.31961309,38.54364326,39.3981743,40.27446301,41.16,42.02,47.45,48.6,49.8,51,57.5,65,67.03,69.61966879,,
Denmark,DNK,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.097277268,0.194056515,0.386913951,0.578329976,1.34430775,3.82565642,5.714987841,11.38200494,22.66874615,30.59204065,39.17243086,42.95752472,64.25,76.26,80.93,82.74,86.65,85.03,85.02,86.84,88.72,89.81001339,92.26001172,94.6297,95.99,96.3305,96.96778525,97.09936216,97.31920437,
Dominican Republic,DOM,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0.017233601,0.074987053,0.142687565,0.233914189,1.104743874,3.704692356,4.429390697,6.823725733,7.898392937,8.865553461,11.48319778,14.84492837,17.66,20.82,27.72,31.4,38,42.32,45.9,49.58,54.21576634,63.87086474,67.57123468,74.82428986,
Algeria,DZA,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0.000360674,0.001768954,0.001738533,0.010268463,0.020238555,0.199523843,0.4917056791,0.6461140167,1.59164126,2.195359731,4.634475088,5.843942092,7.375984956,9.451190626,10.18,11.23,12.5,14.9,18.2,22.5,29.5,38.2,42.94552688,47.69105515,49.03846808,
East Asia & Pacific (excluding high income),EAP,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001156527288,0.004014643085,0.01305158341,0.03362757773,0.09409772167,0.3231817787,0.8524572936,1.893864676,2.777993344,4.405101888,5.762590771,6.882916179,8.313006093,10.16802448,14.38495551,19.27252848,23.78902104,28.979835,32.40445885,36.08240618,39.71641937,42.06180275,44.2904169,48.72880783,51.16874466,,
Early-demographic dividend,EAR,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0002428583093,,,,0.01484162793,0.04521305052,0.08019447351,0.1625719642,0.3420023387,0.6105151811,1.227261193,1.682055022,2.828285847,3.395432029,4.201648124,4.873934565,5.752670954,7.314519934,8.473975965,9.664196844,12.79285702,15.42567034,18.07650763,20.90993614,25.44907596,25.77265393,30.16674985,38.02906156,,
East Asia & Pacific,EAS,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007210874579,,,0.07932775987,0.1175999819,0.2104006204,0.4675369113,1.083685583,1.885414684,3.417878198,5.609240705,7.278354904,9.030182984,10.58339904,12.63396688,14.68650232,16.63753357,20.79045747,25.28551088,29.55069612,34.27055397,37.40232371,40.74375403,44.60920507,46.83847716,48.99874748,53.18742089,55.07326568,,
Europe & Central Asia (excluding high income),ECA,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009093112134,0.03751303783,0.0888887746,0.1885190113,0.3612787607,0.6764139952,1.104411213,1.970775912,2.878245115,5.011762428,7.300017715,10.70630464,12.490043,15.02376776,20.39211524,23.89932106,27.46059309,35.62069694,40.54541107,48.82686926,52.78912919,56.89945464,58.79348617,62.51793421,66.58740199,73.10860187,
Europe & Central Asia,ECS,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04805783654,,0.2623218965,0.3176490989,0.5642286239,1.023009852,1.841437225,3.355163862,5.431164249,9.225793664,13.15624656,16.38032669,23.00710495,28.30974707,32.29572158,35.14374815,38.01023397,43.61681645,47.3177042,50.53584758,56.08688231,58.79337134,63.59047778,66.31235561,68.98925172,70.04399701,72.44627768,75.02782068,79.75323657,
Ecuador,ECU,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.005118035,0.016400751,0.034833586,0.043833641,0.086161276,0.110217959,0.125272771,0.823371634,1.462188536,2.670443674,4.260796915,4.460228345,4.834442638,5.994255161,7.2,10.8,18.8,24.6,29.03,31.36680836,35.13514645,40.27912194,45.59039067,48.94043379,54.06292473,57.27224368,,
"Egypt, Arab Rep.",EGY,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.000975791,0.00638327,0.031319638,0.061466899,0.090480245,0.147987377,0.290445278,0.6412650375,0.8389456115,2.719999715,4.037885107,11.92,12.75,13.66,16.03,18.01,20,21.6,25.6,26.4,29.4,33.89460391,37.81938343,41.24806709,44.95020425,46.92433809,
Euro area,EMU,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0725336594,0.1691806081,0.3257769791,0.4692070076,0.8468331452,1.700748145,2.880561864,5.097878479,8.004277114,15.19861238,22.46611132,27.30775995,35.08328249,42.00906976,47.37339122,51.1540401,54.84045854,61.31208095,64.79625185,67.10576869,71.02755155,72.01410264,74.11900702,75.85028779,77.08909361,77.47253588,77.98945493,79.66087356,83.77847588,
