Year-month,Canon camera,Nikon camera,Sony camera
2011-10-01,7.968,4.268,7.364
2011-11-01,6.2,4.216,5.984
2011-12-01,6.964,4.1,6.936
2012-01-01,7.372,4.724,6.704
2012-02-01,8.58,4.812,7.408
2012-03-01,6.556,3.78,7.264
2012-04-01,7.24,4.376,5.984
2012-05-01,7.888,3.916,6.196
2012-06-01,8.016,5.356,6.628
2012-07-01,8.012,5.076,6.912
2012-08-01,7.784,4.784,7.032
2012-09-01,8.228,5.08,7.892
2012-10-01,7.564,4.684,7.752
2012-11-01,6.064,4.368,5.568
2012-12-01,6.656,4.444,6.1
2013-01-01,7.704,5.16,7.936
2013-02-01,7.668,4.94,6.992
2013-03-01,7.528,5.076,6.996
2013-04-01,7.552,4.592,7.056
2013-05-01,7.584,5.164,6.452
2013-06-01,7.9,5.188,7.712
2013-07-01,8.6,5.78,7.62
2013-08-01,8.468,4.756,7.576
2013-09-01,7.376,4.616,7.608
2013-10-01,6.98,4.7,7.92
2013-11-01,6.792,4.26,6.548
2013-12-01,7.192,4.7,6.508
2014-01-01,7.228,5.056,8.116
2014-02-01,8.056,4.628,8.116
2014-03-01,7.052,4.66,7.488
2014-04-01,7.912,4.992,8.296
2014-05-01,6.848,4.588,7.764
2014-06-01,7.608,3.656,7.536
2014-07-01,6.868,4.444,8.688
2014-08-01,6.956,4.58,7.264
2014-09-01,6.924,4.428,7.448
2014-10-01,7.46,4.696,9.444
2014-11-01,7.58,4.86,8.76
2014-12-01,7.18,4.9,8.32
2015-01-01,6.58,4.072,8.548
2015-02-01,7.42,3.972,7.808
2015-03-01,7.384,4.304,7.912
2015-04-01,8.576,5.336,9.288
2015-05-01,8.636,4.544,8.42
2015-06-01,6.852,4.524,8.224
2015-07-01,7.804,4.524,7.672
2015-08-01,8.58,5.268,8.552
2015-09-01,7.056,4.388,7.756
2015-10-01,7.552,4.076,7.572
2015-11-01,7.52,5.604,8.076
2015-12-01,7.332,4.628,7.24
2016-01-01,8.488,4.876,8.236
2016-02-01,7.348,4.22,8.832
2016-03-01,7.672,5.016,7.712
2016-04-01,7.768,4.492,7.74
2016-05-01,7.292,4.876,7.832
2016-06-01,8.328,4.204,7.068
2016-07-01,8.672,4.92,8.008
2016-08-01,8.772,5.188,9.24
2016-09-01,7.876,3.608,8.116
2016-10-01,8.14,4.256,8.404
2016-11-01,6.752,4.22,6.228
2016-12-01,7.312,4.568,6.52
2017-01-01,8.756,4.668,8.176
2017-02-01,7.712,4.152,7.336
2017-03-01,8.86,4.928,8.612
2017-04-01,8.02,4.38,8.0
2017-05-01,7.912,4.344,6.544
2017-06-01,8.112,4.468,7.42
2017-07-01,8.56,5.736,8.104
2017-08-01,9.06,5.44,8.3
2017-09-01,8.164,4.048,7.788
2017-10-01,8.512,4.276,6.412
2017-11-01,7.852,4.484,6.464
2017-12-01,8.108,4.108,6.984
2018-01-01,9.22,4.996,8.584
2018-02-01,7.672,4.276,7.252
2018-03-01,7.84,4.696,7.064
2018-04-01,8.144,4.248,7.608
2018-05-01,8.916,4.36,6.724
2018-06-01,8.732,4.116,7.152
2018-07-01,9.096,5.008,7.096
2018-08-01,9.056,4.732,7.012
2018-09-01,9.196,4.256,6.948
2018-10-01,8.112,4.276,7.612
2018-11-01,9.144,4.424,7.632
2018-12-01,8.264,3.596,6.94
2019-01-01,8.448,4.556,6.596
2019-02-01,10.708,4.804,7.688
2019-03-01,9.04,4.356,7.004
2019-04-01,11.056,5.04,7.904
2019-05-01,10.336,4.344,8.12
2019-06-01,9.048,4.008,6.944
2019-07-01,10.228,4.12,8.052
2019-08-01,10.084,4.188,7.328
2019-09-01,9.232,4.54,7.828
2019-10-01,9.148,4.08,7.172
2019-11-01,8.328,3.604,6.868
2019-12-01,9.864,4.012,7.324
2020-01-01,8.872,4.216,7.712
2020-02-01,10.152,4.9,6.548
2020-03-01,10.68,4.796,6.924
