date,mirrorless_canon,mirrorless_nikon,mirrorless_sony
2011-12-01,0.7389558232931727,0.8875502008032129,1.5863453815261044
2012-01-01,3.068273092369478,4.751004016064257,1.819277108433735
2012-02-01,1.606425702811245,1.8795180722891567,0.1285140562248996
2012-03-01,1.9357429718875503,2.317269076305221,0.9678714859437751
2012-04-01,1.3373493975903614,2.2329317269076303,1.248995983935743
2012-05-01,1.7349397590361446,1.4738955823293172,0.8072289156626506
2012-06-01,2.502008032128514,0.5983935742971888,1.3172690763052208
2012-07-01,5.220883534136546,0.7349397590361446,0.46987951807228917
2012-08-01,2.4457831325301207,1.5863453815261044,1.1887550200803212
2012-09-01,2.3453815261044175,0.8594377510040161,2.0160642570281126
2012-10-01,2.248995983935743,2.2048192771084336,2.3734939759036147
2012-11-01,1.3253012048192772,1.072289156626506,1.216867469879518
2012-12-01,2.076305220883534,1.0803212851405624,1.6626506024096386
2013-01-01,1.4819277108433735,1.4016064257028114,1.9357429718875503
2013-02-01,1.9357429718875503,1.0562248995983936,1.0240963855421688
2013-03-01,2.4457831325301207,2.7630522088353415,1.6184738955823292
2013-04-01,2.1686746987951806,0.9919678714859438,1.2570281124497993
2013-05-01,1.4056224899598393,2.040160642570281,1.7751004016064258
2013-06-01,2.2610441767068274,1.6666666666666667,1.2931726907630523
2013-07-01,1.6586345381526104,2.180722891566265,1.3815261044176708
2013-08-01,2.112449799196787,0.8955823293172691,2.21285140562249
2013-09-01,1.8634538152610443,0.9759036144578314,1.5783132530120483
2013-10-01,2.0963855421686746,1.6706827309236947,1.855421686746988
2013-11-01,1.3293172690763053,1.3855421686746987,2.9076305220883536
2013-12-01,2.3493975903614457,1.678714859437751,2.397590361445783
2014-01-01,1.5180722891566265,1.6867469879518073,2.0160642570281126
2014-02-01,1.0281124497991967,2.0200803212851404,2.1726907630522088
2014-03-01,1.78714859437751,1.8393574297188755,2.7991967871485945
2014-04-01,1.4698795180722892,1.465863453815261,2.285140562248996
2014-05-01,1.7349397590361446,2.321285140562249,3.1726907630522088
2014-06-01,2.2248995983935744,1.0602409638554218,2.7389558232931726
2014-07-01,2.4056224899598395,1.0080321285140563,3.4136546184738954
2014-08-01,1.8112449799196788,1.4899598393574298,2.7228915662650603
2014-09-01,1.1847389558232932,1.7791164658634537,3.8634538152610443
2014-10-01,2.0843373493975905,1.8835341365461848,2.4578313253012047
2014-11-01,1.2008032128514057,1.7309236947791165,3.4939759036144578
2014-12-01,1.9678714859437751,1.497991967871486,2.959839357429719
2015-01-01,3.253012048192771,2.6345381526104417,4.554216867469879
2015-02-01,3.144578313253012,2.7269076305220885,4.570281124497992
2015-03-01,3.1847389558232932,1.8795180722891567,4.172690763052209
2015-04-01,2.5823293172690764,3.0803212851405624,4.377510040160643
2015-05-01,1.9076305220883534,0.9558232931726908,2.357429718875502
2015-06-01,2.289156626506024,1.2088353413654618,3.7309236947791167
2015-07-01,4.052208835341365,2.602409638554217,4.188755020080321
2015-08-01,3.5140562248995986,2.4738955823293174,5.658634538152611
2015-09-01,2.8674698795180724,3.606425702811245,5.975903614457831
2015-10-01,2.714859437751004,2.7751004016064256,4.951807228915663
2015-11-01,2.6907630522088355,2.7791164658634537,6.176706827309237
2015-12-01,2.63855421686747,3.2409638554216866,4.963855421686747
2016-01-01,1.461847389558233,2.2289156626506026,4.341365461847389
2016-02-01,3.3012048192771086,2.791164658634538,4.751004016064257
2016-03-01,1.5502008032128514,2.7068273092369477,4.176706827309237
2016-04-01,1.751004016064257,1.5220883534136547,3.5542168674698793
2016-05-01,1.5742971887550201,1.9437751004016064,4.112449799196787
2016-06-01,3.0120481927710845,1.4698795180722892,3.5502008032128516
2016-07-01,2.8995983935742973,1.140562248995984,3.5903614457831323
2016-08-01,2.823293172690763,2.755020080321285,3.2570281124497993
2016-09-01,1.8835341365461848,2.1847389558232932,3.5622489959839356
2016-10-01,2.78714859437751,1.5461847389558232,3.2971887550200805
2016-11-01,1.9598393574297188,0.9558232931726908,3.108433734939759
2016-12-01,2.1004016064257027,1.6907630522088353,3.8393574297188753
2017-01-01,2.5502008032128516,2.2329317269076303,3.248995983935743
2017-02-01,2.8112449799196786,1.9477911646586346,2.8714859437751006
2017-03-01,2.0200803212851404,1.1726907630522088,5.240963855421687
2017-04-01,2.9437751004016066,0.9196787148594378,3.3654618473895583
2017-05-01,2.963855421686747,2.1927710843373496,3.2771084337349397
2017-06-01,2.8433734939759034,1.5261044176706828,4.867469879518072
2017-07-01,2.1485943775100402,1.9196787148594376,2.357429718875502
2017-08-01,3.317269076305221,2.3413654618473894,3.5783132530120483
2017-09-01,2.2048192771084336,1.8032128514056225,4.827309236947791
2017-10-01,3.497991967871486,1.783132530120482,3.5542168674698793
2017-11-01,3.0240963855421685,2.3855421686746987,3.8273092369477912
2017-12-01,2.4698795180722892,1.538152610441767,4.827309236947791
2018-01-01,3.253012048192771,1.823293172690763,3.7590361445783134
2018-02-01,3.1967871485943773,1.9759036144578312,3.6626506024096384
2018-03-01,2.9919678714859437,2.2971887550200805,3.9477911646586343
2018-04-01,4.473895582329317,1.1566265060240963,4.008032128514056
2018-05-01,3.2329317269076303,2.1887550200803214,3.8152610441767068
2018-06-01,3.8674698795180724,1.497991967871486,3.4698795180722892
2018-07-01,3.3815261044176705,5.305220883534137,3.36144578313253
2018-08-01,3.5301204819277108,8.694779116465863,2.2329317269076303
2018-09-01,4.429718875502008,2.0240963855421685,2.783132530120482
2018-10-01,3.8112449799196786,1.4337349397590362,2.78714859437751
2018-11-01,4.437751004016064,1.3855421686746987,3.8152610441767068
2018-12-01,3.8393574297188753,1.8273092369477912,2.7670682730923697
2019-01-01,3.678714859437751,2.0281124497991967,3.5301204819277108
2019-02-01,4.325301204819277,3.36144578313253,2.755020080321285
2019-03-01,3.5823293172690764,1.7188755020080322,5.140562248995984
2019-04-01,3.8353413654618476,1.9678714859437751,3.433734939759036
2019-05-01,3.4538152610441766,2.1887550200803214,3.1927710843373496
2019-06-01,4.06425702811245,1.895582329317269,2.8755020080321283
2019-07-01,3.8634538152610443,2.068273092369478,4.108433734939759
2019-08-01,4.554216867469879,2.6947791164658637,4.7991967871485945
2019-09-01,3.7028112449799195,1.8674698795180722,4.068273092369478
2019-10-01,4.497991967871486,2.646586345381526,3.6987951807228914
2019-11-01,3.104417670682731,2.1285140562248994,3.602409638554217
2019-12-01,4.473895582329317,1.7630522088353413,3.8032128514056227
2020-01-01,3.9839357429718874,1.8514056224899598,3.8032128514056227
2020-02-01,3.5301204819277108,1.4176706827309238,3.887550200803213
2020-03-01,3.8674698795180724,1.7951807228915662,3.57429718875502
