date,mirrorless_canon,mirrorless_nikon,mirrorless_sony
2014-09-01,0.04060472601461982,0.03819456114813451,0.10228194010671993
2014-10-01,0.08071957793416654,0.029129855199464816,0.06575828184508356
2014-11-01,0.043245361825800105,0.03893284367766098,0.08722400939413046
2014-12-01,0.04392430665570021,0.039960178911847985,0.08042786105867308
2015-01-01,0.05360482088564173,0.058012853681915395,0.10976685462653017
2015-02-01,0.062300808983575914,0.04984176743042666,0.10737768483385123
2015-03-01,0.07144008947274472,0.047370187183866035,0.0997389036113854
2015-04-01,0.05572305057516746,0.06279357807521999,0.10134817310527118
2015-05-01,0.06918319475262202,0.04064854218552338,0.07183484095717597
2015-06-01,0.056058248256909096,0.04205557443262744,0.0963437475598963
2015-07-01,0.07215912288359588,0.051384504334294895,0.1036609306296994
2015-08-01,0.06996969442331405,0.03361282509105422,0.12533836680643365
